     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000            1028.4          25704.1800    25704.0000        0.1800
         0.1000                  0.0034            1032.8          25717.5503    25802.1036      -84.5533
         0.2000                  0.0070             890.3          22541.4714    22601.5272      -60.0558
         0.3000                  0.0108             793.8          20323.4017    20433.3948     -109.9931
         0.4000                  0.0149             666.3          17436.0508    17568.6840     -132.6332
         0.5000                  0.0193             574.3          15419.9047    15502.9392      -83.0345
         0.6436                  0.0258             524.2          14277.3676    14376.6756      -99.3080
         0.6500                  0.0261             534.3          14450.7708    14604.5844     -153.8136
         0.7897                  0.0327             482.2          13296.2844    13432.9104     -136.6260
         0.8000                  0.0332             476.7          13071.1751    13308.6744     -237.4993
         0.9358                  0.0398             440.6          12310.5374    12498.9984     -188.4610
         1.0000                  0.0430             419.3          11709.1500    12020.0472     -310.8972
         1.1317                  0.0497             386.8          10955.8385    11289.6252     -333.7867
         1.2500                  0.0558             372.6          10494.8217    10971.3240     -476.5023
         1.3766                  0.0627             337.3           9029.4328    10178.3556    -1148.9228
         1.5031                  0.0696             318.4           8792.8242     9753.3828     -960.5586
         1.6296                  0.0764             326.1           8949.3271     9926.4564     -977.1293
         1.7563                  0.0833             330.0           8874.2965    10014.7068    -1140.4103
         1.8830                  0.0902             324.1           9171.5297     9881.9028     -710.3731
         2.0095                  0.0970             324.0           8757.2892     9880.1892    -1122.9000
         2.1360                  0.1039             334.2           8822.5528    10108.0980    -1285.5452
         2.2500                  0.1101             315.6           8460.9040     9690.8364    -1229.9324
         2.3768                  0.1170             336.8           8475.2246    10167.2172    -1691.9926
         2.5035                  0.1238             322.3           8514.6468     9840.3480    -1325.7012
         2.6301                  0.1307             325.1           8600.1490     9905.0364    -1304.8874
         2.7567                  0.1376             328.6           8967.0961     9983.8620    -1016.7659
         2.8835                  0.1445             346.1           9390.9623    10375.8480     -984.8857
         3.0104                  0.1513             316.8           8763.3491     9717.8256     -954.4765
         3.1371                  0.1582             325.1           8779.8793     9904.6080    -1124.7287
         3.2500                  0.1643             327.0           8823.1479     9946.1628    -1123.0149
         3.3766                  0.1712             326.0           8297.4452     9923.8860    -1626.4408
         3.5032                  0.1781             321.2           8501.2886     9816.7860    -1315.4974
         3.6301                  0.1850             336.2           8945.5946    10153.0800    -1207.4854
         3.7565                  0.1918             318.9           8698.4352     9765.8064    -1067.3712
         3.8832                  0.1987             321.6           8627.0093     9824.4972    -1197.4879
         4.0100                  0.2056             327.2           8851.0951     9950.8752    -1099.7801
         4.1367                  0.2124             326.6           8981.5149     9936.7380     -955.2231
         4.2500                  0.2186             309.3           8630.3231     9548.1792     -917.8561
         4.3764                  0.2255             334.0           8875.5469    10103.3856    -1227.8387
         4.5032                  0.2323             332.6           8854.6810    10072.1124    -1217.4314
         4.6298                  0.2392             326.7           8784.9132     9940.5936    -1155.6804
         4.7566                  0.2461             339.0           9169.9506    10217.3400    -1047.3894
         4.8834                  0.2529             320.6           8511.8291     9802.2204    -1290.3913
         5.0101                  0.2598             327.7           8663.2114     9962.0136    -1298.8022
         5.1369                  0.2667             326.8           8978.3680     9941.4504     -963.0824
         5.2500                  0.2728             324.8           8788.8067     9896.8968    -1108.0901
         5.3763                  0.2797             327.6           8777.7994     9959.4432    -1181.6438
         5.5028                  0.2866             327.8           9145.0584     9963.7272     -818.6688
         5.6293                  0.2934             307.1           8757.1499     9499.3416     -742.1917
         5.7557                  0.3003             319.1           8698.6511     9770.0904    -1071.4393
         5.8823                  0.3072             328.7           9175.1236     9984.2904     -809.1668
         6.0090                  0.3140             330.0           8905.7893    10013.4216    -1107.6323
         6.1355                  0.3209             343.7           9246.8725    10322.7264    -1075.8539
         6.2500                  0.3271             332.3           8625.9636    10066.5432    -1440.5796
         6.3771                  0.3340             324.3           8887.1326     9887.0436     -999.9110
         6.5036                  0.3409             343.2           9141.0840    10310.3028    -1169.2188
         6.6306                  0.3477             325.2           8617.6798     9906.7500    -1289.0702
         6.7574                  0.3546             344.5           9148.2075    10339.0056    -1190.7981
         6.8842                  0.3615             333.2           8673.0322    10085.3928    -1412.3606
         7.0110                  0.3684             336.6           9113.6208    10162.0764    -1048.4556
         7.1377                  0.3752             329.2           9085.0640     9997.1424     -912.0784
         7.2500                  0.3813             329.0           8976.2976     9992.0016    -1015.7040
         7.3765                  0.3882             330.7           8945.8980    10030.1292    -1084.2312
         7.5033                  0.3951             330.6           8847.3742    10026.7020    -1179.3278
         7.6296                  0.4019             329.2           8366.7611     9995.8572    -1629.0961
         7.7563                  0.4088             326.9           9017.7934     9943.5924     -925.7990
         7.8828                  0.4157             333.5           8796.4241    10093.1040    -1296.6799
         8.0092                  0.4226             332.9           8803.8873    10080.2520    -1276.3647
         8.1357                  0.4294             335.0           8901.0112    10125.6624    -1224.6512
         8.2500                  0.4356             337.1           8792.8071    10174.5000    -1381.6929
         8.3767                  0.4425             329.3           8958.6696     9998.8560    -1040.1864
         8.5032                  0.4494             321.0           8843.3949     9812.9304     -969.5355
         8.6297                  0.4563             337.7           9025.6956    10186.9236    -1161.2280
         8.7563                  0.4631             331.6           8888.0302    10051.1208    -1163.0906
         8.8830                  0.4700             330.4           8904.2847    10022.4180    -1118.1333
         9.0096                  0.4769             347.8           9302.8818    10413.9756    -1111.0938
         9.1362                  0.4837             332.2           8940.4693    10063.9728    -1123.5035
         9.2500                  0.4899             333.1           8902.6367    10082.8224    -1180.1857
         9.3766                  0.4968             342.3           9321.0406    10289.7396     -968.6990
         9.5030                  0.5037             328.0           9009.8932     9970.1532     -960.2600
         9.6295                  0.5105             328.9           8809.9746     9989.8596    -1179.8850
         9.7561                  0.5174             335.5           9051.5899    10137.6576    -1086.0677
         9.8826                  0.5243             323.8           8706.7352     9875.9052    -1169.1700
        10.0092                  0.5312             328.8           8852.0062     9987.7176    -1135.7114
        10.1356                  0.5380             329.9           8903.0002    10012.9932    -1109.9930
        10.2500                  0.5442             335.5           9234.3558    10136.8008     -902.4450
        10.3767                  0.5511             320.2           8401.6204     9793.6524    -1392.0320
        10.5034                  0.5580             335.6           8920.5605    10140.2280    -1219.6675
        10.6300                  0.5649             333.7           8924.4266    10097.8164    -1173.3898
        10.7564                  0.5717             325.4           8876.6505     9910.6056    -1033.9551
        10.8830                  0.5786             331.2           8744.5986    10041.6960    -1297.0974
        11.0095                  0.5855             334.4           9145.9658    10113.6672     -967.7014
        11.1361                  0.5923             331.1           9011.9235    10038.6972    -1026.7737
        11.2500                  0.5985             330.8           8652.8183    10032.2712    -1379.4529
        11.3768                  0.6054             345.0           9343.1290    10351.4292    -1008.3002
        11.5032                  0.6123             331.1           8893.1239    10039.9824    -1146.8585
        11.6300                  0.6191             317.8           8499.8454     9740.5308    -1240.6854
        11.7570                  0.6260             330.7           8935.3755    10029.7008    -1094.3253
        11.8834                  0.6329             327.0           9035.6962     9947.8764     -912.1802
        12.0099                  0.6398             331.1           8945.1065    10038.2688    -1093.1623
        12.1367                  0.6466             312.7           8862.2864     9625.2912     -763.0048
        12.2500                  0.6528             330.8           8886.3417    10032.2712    -1145.9295
        12.3766                  0.6596             327.4           8737.1144     9955.5876    -1218.4732
        12.5033                  0.6665             319.8           8124.1722     9785.9412    -1661.7690
        12.6300                  0.6734             317.7           8388.6073     9738.3888    -1349.7815
        12.7567                  0.6803             322.5           8372.6982     9845.0604    -1472.3622
        12.8836                  0.6871             328.1           8613.7598     9971.8668    -1358.1070
        13.0102                  0.6940             324.1           8942.8817     9881.0460     -938.1643
        13.1370                  0.7009             324.0           8683.1411     9878.9040    -1195.7629
        13.2500                  0.7070             317.9           8679.6530     9741.8160    -1062.1630
        13.3764                  0.7139             333.7           8868.5635    10097.8164    -1229.2529
        13.5030                  0.7208             337.8           8731.3490    10188.6372    -1457.2882
        13.6296                  0.7276             337.2           8669.0885    10174.9284    -1505.8399
        13.7563                  0.7345             332.9           8870.6802    10078.5384    -1207.8582
        13.8827                  0.7414             327.6           8727.0075     9961.1568    -1234.1493
        14.0095                  0.7482             331.1           9079.2481    10038.6972     -959.4491
        14.1364                  0.7551             335.6           8982.9776    10140.2280    -1157.2504
        14.2500                  0.7613             326.6           8742.3901     9937.5948    -1195.2047
        14.3773                  0.7682             332.9           8830.2757    10079.8236    -1249.5479
