     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000            1028.4          11228.5680    11232.0000       -3.4320
         0.0927                  0.0061             998.7          10915.1974    10939.9680      -24.7706
         0.1000                  0.0066            1013.7          11063.9902    11087.2944      -23.3042
         0.1889                  0.0127             947.9          10415.3982    10440.8928      -25.4946
         0.2000                  0.0135             902.6           9979.0135     9996.6672      -17.6537
         0.2851                  0.0197             808.8           9062.6841     9076.3920      -13.7079
         0.3000                  0.0208             806.5           9047.4239     9053.3664       -5.9425
         0.3806                  0.0272             712.9           8111.8147     8134.9632      -23.1485
         0.4000                  0.0287             671.6           7708.0505     7729.3008      -21.2503
         0.4762                  0.0352             555.0           6535.4546     6584.9472      -49.4926
         0.5000                  0.0372             573.6           6755.3782     6767.4672      -12.0890
         0.5745                  0.0437             518.6           6144.6723     6227.7696      -83.0973
         0.6489                  0.0503             530.7           6288.8792     6346.0800      -57.2008
         0.6500                  0.0504             548.5           6492.3671     6520.9248      -28.5577
         0.7225                  0.0570             471.0           5677.9741     5759.5824      -81.6083
         0.7948                  0.0636             493.7           5928.3061     5982.9120      -54.6059
         0.8000                  0.0640             480.7           5791.8606     5855.4288      -63.5682
         0.8703                  0.0707             477.7           5785.3861     5825.4768      -40.0907
         0.9406                  0.0774             423.0           5172.8203     5288.5872     -115.7669
         1.0000                  0.0830             446.4           5404.0315     5518.0944     -114.0629
         1.0684                  0.0897             396.4           4798.5523     5027.4432     -228.8909
         1.1367                  0.0965             364.6           4505.6802     4715.3808     -209.7006
         1.2051                  0.1032             398.7           4870.3935     5050.2816     -179.8881
         1.2500                  0.1077             388.5           4730.3393     4949.9424     -219.6031
         1.3147                  0.1146             300.9           3340.9259     4090.1328     -749.2069
         1.3796                  0.1215             311.9           3123.6936     4198.1472    -1074.4536
         1.4444                  0.1284             328.6           3159.0113     4362.5088    -1203.4975
         1.5093                  0.1354             301.1           2746.7075     4092.0048    -1345.2973
         1.5742                  0.1423             308.6           2620.8335     4165.5744    -1544.7409
         1.6390                  0.1492             318.1           3023.4937     4258.8000    -1235.3063
         1.7039                  0.1561             310.9           2785.7399     4188.0384    -1402.2985
         1.7689                  0.1630             292.3           2513.7091     4006.0800    -1492.3709
         1.8337                  0.1700             298.8           2652.3209     4070.1024    -1417.7815
         1.8986                  0.1769             310.5           3030.3308     4184.8560    -1154.5252
         1.9637                  0.1838             306.6           2880.1487     4146.2928    -1266.1441
         2.0286                  0.1907             333.0           3101.5552     4405.7520    -1304.1968
         2.0936                  0.1976             317.8           2602.9089     4256.1792    -1653.2703
         2.1585                  0.2046             306.3           2526.7278     4143.2976    -1616.5698
         2.2235                  0.2115             301.5           2475.5757     4095.7488    -1620.1731
         2.2500                  0.2143             301.5           2153.6544     4096.1232    -1942.4688
         2.3148                  0.2212             318.8           2605.4280     4266.2880    -1660.8600
