              0      0.0000  18136.7160      6.0000
      100000000      0.0036  18019.8751      5.9668
              0      0.0036  18019.8751      5.9668
      100000000      0.0072  16187.4122      5.3685
              0      0.0072  16187.4122      5.3685
      100000000      0.0107  14247.4571      4.7236
              0      0.0107  14247.4571      4.7236
      100000000      0.0143  13242.7778      4.3976
              0      0.0143  13242.7778      4.3976
      100000000      0.0179  10697.8654      3.5673
              0      0.0179  10697.8654      3.5673
      101401577      0.0215  10226.3285      3.4122
      150000000      0.0233  10118.4452      3.3782
              0      0.0233  10118.4452      3.3782
       98711237      0.0268   9225.1932      3.0930
      150000000      0.0286   9411.3054      3.1602
              0      0.0286   9411.3054      3.1602
       95853775      0.0320   8438.3019      2.8697
      191717041      0.0355   8729.4767      2.9699
      200000000      0.0358   8477.9457      2.8492
              0      0.0358   8477.9457      2.8492
       92903647      0.0391   7803.5412      2.6558
      186103770      0.0424   7177.5126      2.4910
      250000000      0.0447   7702.1814      2.6338
              0      0.0447   7702.1814      2.6338
       89385212      0.0479   6352.3732      2.3234
      179004015      0.0511   6203.5742      2.3455
      268697913      0.0543   5903.2257      2.3537
      358280190      0.0574   6432.1470      2.3616
      447946460      0.0606   6488.2804      2.3643
      537437900      0.0638   6213.8099      2.3491
      627019527      0.0670   6238.0679      2.2956
      716430800      0.0702   6041.2447      2.3631
      805930912      0.0734   6155.3033      2.3689
      895515599      0.0765   6217.5020      2.3658
      985077803      0.0797   5673.2855      2.2739
     1000000000      0.0803   5845.1825      2.3159
              0      0.0803   5845.1825      2.3159
       89806411      0.0834   6092.4911      2.3819
      179584634      0.0866   6015.8694      2.3246
      269105200      0.0898   5604.1822      2.2524
      358858510      0.0930   5839.4597      2.3337
      448600694      0.0962   6218.1370      2.3919
      538296096      0.0994   6062.9098      2.3362
      627934280      0.1026   6170.2980      2.3721
      717615966      0.1057   6058.4867      2.3369
      807090790      0.1089   6137.9582      2.3910
      896778681      0.1121   5994.2355      2.2816
      986393858      0.1153   6447.0318      2.3960
     1000000000      0.1158   6189.3501      2.3142
              0      0.1158   6189.3501      2.3142
       89564790      0.1190   6113.7087      2.3681
      179288395      0.1221   6051.6201      2.2627
      268735358      0.1253   6059.2983      2.3490
      358441928      0.1285   6291.9219      2.3742
      448084783      0.1317   6343.6715      2.3183
      537558951      0.1349   6303.3632      2.3110
      626992617      0.1381   6397.9433      2.3460
      716574546      0.1413   6213.4970      2.3218
      806284925      0.1444   6398.7973      2.3186
      895920794      0.1476   6176.3177      2.3517
      985613479      0.1508   5859.7087      2.2621
     1000000000      0.1513   5879.7120      2.3230
              0      0.1513   5879.7120      2.3230
       89673813      0.1545   6294.9104      2.3329
      179537109      0.1577   6268.0985      2.3103
      269004085      0.1609   6482.7216      2.3757
      358537441      0.1641   6412.1075      2.3734
      448393206      0.1672   6309.7602      2.2847
      537682547      0.1704   6290.2202      2.3111
      627233744      0.1736   6294.8870      2.3164
      716810039      0.1768   6192.5747      2.3014
      806418569      0.1800   6218.0340      2.3350
      896010370      0.1832   6225.7725      2.3033
      985389431      0.1864   6227.3504      2.3222
     1000000000      0.1869   6452.8938      2.4028
              0      0.1869   6452.8938      2.4028
       89555478      0.1901   6405.6482      2.4376
      179132726      0.1932   6043.8920      2.2879
