     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000            1028.4          25704.0000    25704.0000        0.0000
         0.1000                  0.0034            1009.1          25234.0859    25270.0308      -35.9449
         0.2000                  0.0070             914.0          23103.8545    23134.0284      -30.1739
         0.3000                  0.0107             795.2          20420.5239    20463.8112      -43.2873
         0.4000                  0.0148             667.7          17565.7926    17599.5288      -33.7362
         0.5000                  0.0192             571.3          15345.4830    15434.8236      -89.3406
         0.6444                  0.0257             510.0          13945.5157    14058.8028     -113.2871
         0.6500                  0.0259             506.5          13790.3341    13979.5488     -189.2147
         0.7903                  0.0325             480.3          13151.7256    13389.6420     -237.9164
         0.8000                  0.0330             492.2          13531.2222    13658.2488     -127.0266
         0.9363                  0.0397             423.8          12048.2288    12120.2928      -72.0640
         1.0000                  0.0428             425.6          11865.7227    12162.2760     -296.5533
         1.1322                  0.0495             392.5          11031.1932    11418.1452     -386.9520
         1.2500                  0.0555             395.6          11126.1032    11488.8312     -362.7280
         1.3770                  0.0624             314.5           8749.3228     9665.5608     -916.2380
         1.5044                  0.0693             324.7           8999.8849     9894.3264     -894.4415
         1.6316                  0.0762             329.8           9012.3262    10009.9944     -997.6682
         1.7588                  0.0830             333.6           9060.9253    10095.2460    -1034.3207
         1.8862                  0.0899             335.6           9095.5478    10140.2280    -1044.6802
         2.0133                  0.0968             333.8           8989.5703    10099.9584    -1110.3881
         2.1405                  0.1036             342.9           9195.2295    10303.4484    -1108.2189
         2.2500                  0.1096             333.7           9230.2241    10096.9596     -866.7355
         2.3772                  0.1164             319.4           8850.8881     9776.9448     -926.0567
         2.5044                  0.1233             342.6           9174.6994    10297.4508    -1122.7514
         2.6315                  0.1302             329.5           8808.1963    10003.9968    -1195.8005
         2.7588                  0.1370             334.8           9210.4897    10121.8068     -911.3171
         2.8861                  0.1439             336.6           9046.5710    10162.9332    -1116.3622
         3.0135                  0.1508             327.1           8755.3648     9948.7332    -1193.3684
         3.1409                  0.1577             333.4           9230.7271    10090.1052     -859.3781
         3.2500                  0.1636             319.0           8966.4826     9766.2348     -799.7522
         3.3770                  0.1704             327.9           8904.9905     9968.0112    -1063.0207
         3.5043                  0.1773             332.4           9132.1632    10067.8284     -935.6652
         3.6317                  0.1842             313.4           8681.9901     9640.2852     -958.2951
         3.7591                  0.1911             327.7           9098.2181     9961.5852     -863.3671
         3.8865                  0.1979             324.6           8823.7513     9892.1844    -1068.4331
         4.0137                  0.2048             336.8           9293.8998    10166.3604     -872.4606
         4.1410                  0.2117             342.1           9284.5830    10286.7408    -1002.1578
         4.2500                  0.2176             335.0           9177.8749    10126.5192     -948.6443
         4.3772                  0.2244             334.4           9047.3540    10113.6672    -1066.3132
         4.5044                  0.2313             324.5           9029.7791     9890.4708     -860.6917
         4.6318                  0.2382             331.0           8852.0746    10036.1268    -1184.0522
         4.7590                  0.2451             320.8           8813.2148     9808.2180     -995.0032
         4.8862                  0.2519             327.6           8858.4082     9960.7284    -1102.3202
         5.0138                  0.2588             323.0           8904.0315     9856.6272     -952.5957
         5.1410                  0.2657             337.2           9202.9627    10175.7852     -972.8225
         5.2500                  0.2716             332.2           9104.2452    10062.6876     -958.4424
         5.3772                  0.2784             330.0           8997.8522    10015.1352    -1017.2830
         5.5045                  0.2853             329.9           8952.2458    10011.7080    -1059.4622
         5.6319                  0.2922             331.3           8968.1616    10042.5528    -1074.3912
         5.7591                  0.2991             321.2           8663.0839     9815.9292    -1152.8453
         5.8863                  0.3059             321.6           8924.7906     9825.7824     -900.9918
         6.0137                  0.3128             328.1           8759.9281     9971.0100    -1211.0819
         6.1411                  0.3197             323.4           8890.1944     9865.6236     -975.4292
         6.2500                  0.3256             327.0           8723.1159     9946.1628    -1223.0469
         6.3773                  0.3324             338.0           9284.4133    10194.2064     -909.7931
         6.5043                  0.3393             331.2           9085.9476    10040.4108     -954.4632
         6.6314                  0.3462             335.4           9268.1217    10136.3724     -868.2507
         6.7589                  0.3530             318.9           8771.0611     9764.5212     -993.4601
         6.8862                  0.3599             327.7           9047.5050     9962.4420     -914.9370
         7.0134                  0.3668             323.5           9081.5416     9868.6224     -787.0808
         7.1404                  0.3737             336.4           9337.7376    10158.6492     -820.9116
         7.2500                  0.3796             322.4           8811.3597     9844.2036    -1032.8439
         7.3772                  0.3864             328.1           8967.4672     9972.2952    -1004.8280
         7.5047                  0.3933             320.7           8896.1981     9805.2192     -909.0211
         7.6318                  0.4002             323.1           9075.9853     9860.0544     -784.0691
         7.7590                  0.4071             343.3           9111.3099    10312.8732    -1201.5633
         7.8862                  0.4139             326.9           8820.0473     9944.4492    -1124.4019
         8.0132                  0.4208             327.9           8707.9602     9968.0112    -1260.0510
         8.1404                  0.4277             331.2           8992.4222    10040.4108    -1047.9886
         8.2500                  0.4336             329.3           8979.7905     9998.8560    -1019.0655
         8.3774                  0.4405             331.4           8896.0145    10045.1232    -1149.1087
         8.5046                  0.4473             326.1           8736.2921     9927.3132    -1191.0211
         8.6319                  0.4542             335.5           8832.4759    10138.5144    -1306.0385
         8.7591                  0.4611             334.6           8767.8197    10116.6660    -1348.8463
         8.8865                  0.4680             334.7           9293.2088    10119.6648     -826.4560
