     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000            1028.4          18360.0000    18360.0000        0.0000
         0.1000                  0.0047            1035.4          18455.9858    18471.9960      -16.0102
         0.2000                  0.0097             913.8          16508.9025    16520.6340      -11.7315
         0.3000                  0.0150             821.0          14984.4568    15031.3320      -46.8752
         0.4000                  0.0206             670.6          12557.9061    12618.2160      -60.3099
         0.5000                  0.0267             570.3          10949.9703    11008.0440      -58.0737
         0.6035                  0.0332             519.3          10058.9523    10190.4120     -131.4597
         0.6500                  0.0362             532.0          10226.6212    10393.9020     -167.2808
         0.7507                  0.0428             513.0          10057.4812    10088.8200      -31.3388
         0.8000                  0.0460             477.4           9421.8229     9518.7420      -96.9191
         0.8979                  0.0527             408.2           8270.1435     8408.2680     -138.1245
         0.9958                  0.0593             450.4           9021.5743     9084.5280      -62.9537
         1.0000                  0.0596             434.7           8761.2896     8832.9960      -71.7064
         1.0949                  0.0664             382.3           7843.8707     7992.7200     -148.8493
         1.1899                  0.0731             385.0           7723.0016     8035.5600     -312.5584
         1.2500                  0.0774             390.6           7882.0244     8125.2180     -243.1936
         1.3412                  0.0843             312.5           6310.8964     6872.4540     -561.5576
         1.4325                  0.0911             328.6           6442.0194     7130.1060     -688.0866
         1.5237                  0.0980             328.4           6552.2324     7127.6580     -575.4256
         1.6150                  0.1049             330.4           6613.0288     7159.4820     -546.4532
         1.7062                  0.1118             336.1           6805.0675     7250.3640     -445.2965
         1.7974                  0.1186             315.1           6304.5606     6914.6820     -610.1214
         1.8884                  0.1255             323.9           6581.1480     7055.1360     -473.9880
         1.9796                  0.1324             331.9           6479.7402     7184.2680     -704.5278
         2.0708                  0.1392             336.7           6847.0357     7261.0740     -414.0383
         2.1621                  0.1461             338.0           6678.5881     7280.9640     -602.3759
         2.2500                  0.1527             340.8           6920.7688     7326.2520     -405.4832
         2.3412                  0.1596             340.2           6901.6407     7316.4600     -414.8193
         2.4325                  0.1665             325.1           6521.9825     7074.7200     -552.7375
